frame,type_id,type_name,conf,x,y,w,h,cx,cy
6,7,car up to 7 seats,0.7571369409561157,350,401,51,50,375,163
10,1,3-Axle Truck ,0.2678104937076569,483,594,111,124,538,172
58,7,car up to 7 seats,0.5312379598617554,398,451,53,47,424,163
71,7,car up to 7 seats,0.4112432897090912,475,522,47,41,498,162
154,10,Trailer Truck,0.3806278705596924,417,577,160,139,497,163
197,9,Small Truck,0.5817109942436218,447,509,62,68,478,162
214,7,car up to 7 seats,0.4935042560100555,372,426,54,62,399,163
233,9,Small Truck,0.2681405246257782,450,510,60,54,480,161
287,7,car up to 7 seats,0.6952636241912842,414,465,51,46,439,164
307,7,car up to 7 seats,0.4227441549301147,380,430,50,47,405,161
371,9,Small Truck,0.3438241481781006,393,459,66,89,426,164
373,1,3-Axle Truck ,0.3130572736263275,397,470,73,99,433,174
402,9,Small Truck,0.6472498178482056,361,411,50,55,386,163
402,7,car up to 7 seats,0.2762453556060791,465,517,52,43,491,164
505,7,car up to 7 seats,0.2732847929000854,415,465,50,45,440,161
507,7,car up to 7 seats,0.2916163206100464,500,549,49,43,524,170
510,7,car up to 7 seats,0.2712141573429108,508,562,54,52,535,178
541,7,car up to 7 seats,0.5233399868011475,414,471,57,53,442,161
554,9,Small Truck,0.3009295165538788,516,583,67,62,549,193
617,9,Small Truck,0.7706437706947327,448,506,58,49,477,163
674,7,car up to 7 seats,0.3847564160823822,389,441,52,52,415,171
787,9,Small Truck,0.7289043068885803,447,506,59,47,476,161
849,6,car more  than 7 seats ,0.5834870934486389,460,529,69,74,494,166
909,7,car up to 7 seats,0.7764602899551392,445,499,54,49,472,163
957,7,car up to 7 seats,0.3147369921207428,424,475,51,45,449,161
979,7,car up to 7 seats,0.7107601761817932,366,420,54,62,393,164
999,9,Small Truck,0.3341290056705475,378,438,60,84,408,162
